Ia_mean,Ia_std,Ia_max,Ia_min,Ib_mean,Ib_std,Ib_max,Ib_min,VDC_mean,VDC_std,VDC_max,VDC_min,IDC_mean,IDC_std,IDC_max,IDC_min,T1_mean,T1_std,T1_max,T1_min,T2_mean,T2_std,T2_max,T2_min,T3_mean,T3_std,T3_max,T3_min,Current_RMS_mean,Current_RMS_std,Current_RMS_max,Current_RMS_min,Temp_Max_mean,Temp_Max_std,Temp_Max_max,Temp_Max_min,Temp_Avg_mean,Temp_Avg_std,Temp_Avg_max,Temp_Avg_min,Power_DC_mean,Power_DC_std,Power_DC_max,Power_DC_min,Temp_Diff_Max_mean,Temp_Diff_Max_std,Temp_Diff_Max_max,Temp_Diff_Max_min,Current_RMS_slope,Temp_Max_slope,VDC_slope,Impedance_mean,Current_min,Current_Delta,FDD,fault_type
532.2,0.9189,534.0,531.0,388.6,0.8433,390.0,387.0,-18.5728,6.1176,-7.3314,-26.8817,505.9,0.9944,507.0,504.0,10.676,0.201,11.2361,10.5772,11.4674,0.0854,11.6494,11.4013,12.3465,0.2223,12.6462,11.815,465.9651,0.8081,467.16,464.6127,12.3465,0.2223,12.6462,11.815,11.4967,0.1193,11.7612,11.2921,8.4091,2.9025,11.9355,2.7126,1.6705,0.2057,1.9023,1.2378,-0.005615,-0.038277,-0.444326,0.039859,464.6127,0.0,F0,normal
532.7,1.0593,534.0,531.0,389.2,1.1353,391.0,388.0,-21.5054,4.2795,-17.1065,-26.8817,506.3,0.9487,508.0,505.0,10.6101,0.0575,10.6595,10.4951,11.4344,0.1303,11.6494,11.1536,12.3298,0.191,12.4795,11.815,466.5011,0.9416,467.9941,465.0296,12.3298,0.191,12.4795,11.815,11.4581,0.0803,11.5684,11.2921,8.9878,1.9664,11.9355,6.3294,1.7197,0.1786,1.9023,1.2378,0.220435,0.005036,-0.088865,0.046099,465.0296,1.9764,F0,normal
532.4,1.2649,534.0,531.0,389.4,1.3499,391.0,387.0,-21.0166,3.0912,-17.1065,-26.8817,506.4,1.2649,508.0,504.0,10.6101,0.0575,10.6595,10.4951,11.5505,0.3353,12.1468,11.1536,12.4129,0.0765,12.4795,12.2299,466.4135,1.0852,467.9941,464.6127,12.4129,0.0765,12.4795,12.2299,11.5245,0.1321,11.7343,11.3754,8.7527,2.4696,13.0205,5.0635,1.8028,0.0655,1.9023,1.7349,-0.206555,0.015127,0.17773,0.04506,464.6127,-1.976,F0,normal
531.6,0.6992,533.0,531.0,387.9,1.6633,391.0,385.0,-19.5503,2.576,-17.1065,-21.9941,506.4,1.4298,508.0,504.0,10.4709,0.4319,10.7417,9.2666,11.5752,0.311,12.1468,11.3187,12.5052,0.4563,13.7351,11.9808,465.3314,0.8198,466.8538,464.3539,12.5053,0.4563,13.7351,11.9808,11.5171,0.143,11.7343,11.3198,8.2102,2.7547,13.0205,5.0635,2.0344,0.8677,4.4685,1.4036,-0.12581,0.03815,0.148109,0.042014,464.3539,-0.2627,F0,normal
531.9,0.8756,533.0,531.0,388.0,1.6997,391.0,385.0,-19.0616,2.5239,-17.1065,-21.9941,506.5,1.1785,508.0,505.0,10.4791,0.4401,10.824,9.2666,11.3931,0.0609,11.484,11.2361,12.6807,0.5588,13.7351,11.9808,465.5443,1.0341,467.4238,464.3539,12.6807,0.5588,13.7351,11.9808,11.5176,0.1644,11.848,11.3198,7.7942,2.1252,11.393,5.0635,2.2016,0.8903,4.4685,1.4036,0.223744,0.030183,-0.0,0.040945,464.3539,1.8227,F0,normal
532.3,0.8233,533.0,531.0,389.9,1.5951,392.0,388.0,-20.0391,3.4174,-17.1065,-26.8817,506.3,1.0593,508.0,505.0,10.6184,0.0799,10.824,10.5772,11.3848,0.1498,11.6494,11.0712,12.6299,0.3541,13.4829,12.3963,466.5654,0.9725,467.8424,465.0296,12.6299,0.3541,13.4829,12.3963,11.5444,0.146,11.848,11.4034,8.4453,2.0865,11.393,5.0635,2.0116,0.3369,2.9056,1.819,0.16503,-0.075967,-0.296217,0.04295,465.0296,1.1426,F0,normal
532.4,0.9661,534.0,531.0,389.3,1.9465,392.0,386.0,-20.5279,4.6368,-12.219,-26.8817,506.4,1.075,508.0,505.0,10.3567,0.756,10.6595,8.2071,11.5426,0.4952,12.8966,11.0712,12.6054,0.4874,13.9879,12.3963,466.3722,1.1509,467.8424,464.1966,12.6471,0.4932,13.9879,12.3963,11.5016,0.1954,11.9844,11.1988,8.391,2.1721,11.9355,6.3294,2.2904,1.2364,5.7808,1.7368,-0.302701,0.081275,0.266596,0.044016,464.1966,-3.0763,F0,normal
532.3,1.2517,534.0,531.0,388.3,0.9487,389.0,386.0,-20.0391,5.254,-12.219,-26.8817,506.5,0.8498,508.0,505.0,10.2992,0.7493,10.6595,8.2071,11.5261,0.4878,12.8966,11.1536,12.7476,0.5943,13.9879,12.2299,465.8973,0.9949,467.16,464.1966,12.7893,0.588,13.9879,12.2299,11.5243,0.2179,11.9844,11.1988,8.1559,2.5751,11.9355,4.521,2.4901,1.2687,5.7808,1.7368,-0.014749,0.028921,-0.236974,0.043012,464.1966,-0.4165,F0,normal
532.3,1.3375,534.0,530.0,389.7,1.4944,392.0,388.0,-20.0391,6.1824,-7.3314,-26.8817,506.5,0.8498,508.0,505.0,10.528,0.1406,10.6595,10.1667,11.179,0.492,11.4013,9.8389,12.6301,0.3938,13.651,12.2299,466.4819,1.1098,468.4122,465.0296,12.6301,0.3938,13.651,12.2299,11.4457,0.197,11.7397,10.993,8.0474,2.654,11.9355,3.7977,2.1759,0.5399,3.4842,1.817,0.101237,-0.019322,-0.651678,0.042958,465.0296,-1.8644,F0,normal
532.0,1.3333,534.0,530.0,389.5,1.9003,392.0,386.0,-21.5054,5.3788,-7.3314,-26.8817,506.6,0.9661,508.0,505.0,10.5772,0.0387,10.6595,10.4951,11.4035,0.8354,13.3151,9.8389,12.4795,0.068,12.5628,12.3131,466.2277,1.2134,468.4122,464.7688,12.5631,0.2728,13.3151,12.3131,11.4867,0.2717,12.1239,10.993,8.4272,2.3318,11.9355,3.7977,2.0597,0.3611,2.7378,1.7358,-0.241272,0.006112,-0.85903,0.046126,464.7688,-2.085,F0,normal
531.9,0.9944,533.0,530.0,388.3,1.0593,390.0,386.0,-21.5054,3.6064,-17.1065,-26.8817,506.6,0.6992,508.0,506.0,10.6019,0.0555,10.6595,10.4951,11.6092,0.6004,13.3151,11.4013,12.6481,0.7184,14.665,12.1468,465.6693,0.5668,466.5887,464.7688,12.7317,0.7447,14.665,12.1468,11.6197,0.2926,12.2145,11.4025,8.608,1.9942,11.9355,6.3294,2.1298,0.761,4.0878,1.4874,0.025815,0.084773,0.266596,0.046182,464.7688,0.8766,F0,normal
532.5,1.0801,535.0,531.0,389.2,1.3984,392.0,388.0,-19.0616,5.254,-12.219,-26.8817,506.4,0.6992,507.0,505.0,10.6019,0.0397,10.6595,10.5772,11.3271,0.2038,11.484,10.9064,12.6648,0.7116,14.665,12.1468,466.3871,1.0192,468.5648,465.4471,12.6648,0.7116,14.665,12.1468,11.5312,0.2509,12.2145,11.321,7.9208,2.3668,11.9355,4.521,2.0629,0.7251,4.0878,1.4874,0.191458,0.002883,-0.236974,0.040871,465.4471,0.9883,F0,normal
532.4,1.2649,535.0,530.0,389.2,1.8135,392.0,386.0,-20.0391,5.254,-12.219,-26.8817,506.6,0.6992,507.0,505.0,10.5608,0.0848,10.6595,10.3308,11.3271,0.2038,11.484,10.9064,12.4048,0.2363,12.4795,11.7322,466.3305,1.1923,468.5648,464.7688,12.4048,0.2363,12.4795,11.7322,11.4309,0.1191,11.5136,11.1548,8.0293,2.3613,11.9355,4.521,1.8439,0.1576,1.9023,1.4014,-0.241536,-0.031704,-1.184869,0.042972,464.7688,-1.2489,F0,normal
532.6,1.5055,535.0,530.0,388.0,1.4907,391.0,386.0,-22.9717,3.8554,-17.1065,-26.8817,506.8,0.6325,508.0,506.0,10.602,0.1941,11.0712,10.3308,11.4096,0.0261,11.484,11.4013,12.4214,0.2478,12.5628,11.7322,465.945,0.8382,467.3163,464.7688,12.4214,0.2478,12.5628,11.7322,11.4777,0.1326,11.6784,11.1548,8.7889,1.5976,11.9355,6.3294,1.8194,0.2031,1.9856,1.4014,0.10048,0.021665,-0.533191,0.049301,464.7688,2.4394,F0,normal
532.9,1.5239,535.0,531.0,388.8,1.5492,391.0,386.0,-23.9492,6.5977,-12.219,-36.6569,507.0,0.8165,508.0,506.0,10.6184,0.1702,11.0712,10.4129,11.286,0.3366,11.4013,10.3308,12.5212,0.0589,12.5628,12.3963,466.4498,0.8289,467.5767,465.4471,12.5212,0.0589,12.5628,12.3963,11.4752,0.1396,11.6784,11.1292,8.6442,1.828,10.8504,4.521,1.9274,0.1691,2.1487,1.4916,0.049986,0.006558,0.059243,0.051343,465.4471,0.37,F0,normal
532.0,1.2472,534.0,531.0,388.7,1.567,391.0,386.0,-21.0166,8.2431,-7.3314,-36.6569,507.1,0.7379,508.0,506.0,10.6185,0.2304,11.2361,10.3308,11.2777,0.3345,11.4013,10.3308,12.5045,0.0562,12.5628,12.3963,465.8932,1.1422,467.5767,464.1966,12.5045,0.0562,12.5628,12.3963,11.4669,0.1488,11.7334,11.1292,7.5411,2.6249,10.8504,2.1701,1.9106,0.2208,2.1487,1.3266,-0.311495,-0.004541,0.829408,0.04511,464.1966,-2.5471,F0,normal
531.3,1.2517,533.0,529.0,387.9,0.8756,389.0,386.0,-21.0166,7.2128,-7.3314,-31.7693,506.9,0.8756,508.0,506.0,10.6267,0.2303,11.2361,10.3308,11.286,0.3366,11.4013,10.3308,12.4962,0.0527,12.5628,12.3963,465.1596,0.8749,466.5887,463.8885,12.4962,0.0527,12.5628,12.3963,11.4696,0.15,11.7334,11.1292,8.0836,3.3704,14.1056,2.1701,1.8941,0.2173,2.1487,1.3266,0.050918,0.008075,-1.066382,0.045181,463.8885,0.4165,F0,normal
531.9,1.792,535.0,529.0,389.4,1.2649,392.0,388.0,-22.4829,5.3788,-17.1065,-31.7693,506.8,1.1353,508.0,505.0,10.5855,0.026,10.6595,10.5772,11.2777,0.3367,11.4013,10.3308,12.5295,0.043,12.5628,12.4795,466.1279,1.4629,468.9824,463.8885,12.5295,0.043,12.5628,12.4795,11.4642,0.1199,11.5412,11.1292,8.8612,3.49,14.1056,5.0635,1.9687,0.0755,2.1487,1.9023,0.38913,0.008078,0.325839,0.048233,463.8885,3.1179,F0,normal
532.7,1.2517,535.0,531.0,389.1,1.912,392.0,386.0,-18.5728,6.1176,-7.3314,-26.8817,506.5,1.0801,508.0,505.0,10.5362,0.0887,10.5772,10.3308,11.3931,0.0609,11.484,11.2361,12.4382,0.3112,12.5628,11.5666,466.4602,1.1716,468.9824,464.7688,12.4382,0.3112,12.5628,11.5666,11.4558,0.1285,11.5138,11.0996,7.7581,3.5174,13.9247,2.7126,1.902,0.2355,1.9856,1.2358,-0.165818,-0.020633,0.622056,0.039816,464.7688,-1.6666,F0,normal
532.1,1.2867,534.0,530.0,388.2,1.3166,390.0,386.0,-19.5503,7.3765,-7.3314,-26.8817,506.6,0.8433,508.0,505.0,10.5691,0.1524,10.9064,10.3308,11.3189,0.2906,11.484,10.4951,12.3966,0.3106,12.5628,11.5666,465.7423,0.7161,466.744,464.7688,12.3966,0.3107,12.5628,11.5666,11.4282,0.1614,11.5412,11.0996,7.8123,3.1181,11.9355,2.7126,1.8275,0.2914,1.9856,1.2358,-0.088347,0.037215,-0.977517,0.041977,464.7688,0.1058,F0,normal
532.1,1.1972,534.0,530.0,389.3,0.9487,391.0,388.0,-19.0616,7.7108,-7.3314,-26.8817,505.1,6.0818,508.0,488.0,10.6102,0.1111,10.9064,10.4951,11.4019,0.4285,12.3131,10.4951,12.5128,0.1053,12.5628,12.2299,466.2005,0.813,467.4238,464.8769,12.5128,0.1053,12.5628,12.2299,11.5083,0.1568,11.8177,11.1565,10.3622,10.6599,39.0616,2.1701,1.9027,0.2064,1.9856,1.3236,0.160554,0.022197,1.066382,0.040887,464.8769,0.6798,F0,normal
532.0,1.2472,533.0,529.0,390.1,0.8756,391.0,389.0,-18.5728,6.9313,-7.3314,-26.8817,504.9,6.0268,508.0,488.0,10.5772,0.0,10.5772,10.5772,11.4513,0.358,12.3131,10.824,12.5628,0.0,12.5628,12.5628,466.478,0.6115,467.4238,465.1462,12.5628,0.0,12.5628,12.5628,11.5304,0.1193,11.8177,11.3214,10.543,10.6124,39.0616,2.1701,1.9856,0.0,1.9856,1.9856,-0.074747,-0.0,-1.096004,0.039815,465.1462,-0.4177,F0,normal
531.9,1.1972,533.0,529.0,388.9,1.6633,391.0,386.0,-19.5503,6.2038,-12.219,-26.8817,506.8,0.9189,508.0,506.0,10.5526,0.1451,10.7417,10.1667,11.3684,0.1952,11.484,10.824,12.4052,0.4182,12.5628,11.2361,465.9205,0.6426,466.8538,464.7688,12.4217,0.367,12.5628,11.4013,11.4421,0.1615,11.5686,11.0716,7.5591,2.7948,11.9355,3.6168,1.869,0.3751,2.1464,0.8241,-0.084001,-0.017633,1.214491,0.041961,464.7688,-0.6816,F0,normal
531.9,0.7379,533.0,531.0,388.3,1.2517,391.0,386.0,-20.0391,6.5977,-12.219,-31.7693,506.3,1.2517,508.0,504.0,10.4628,0.4997,11.0712,9.1849,11.4096,0.0261,11.484,11.4013,12.5472,0.5624,13.3151,11.2361,465.6693,0.5543,466.2842,464.7688,12.5638,0.5205,13.3151,11.4013,11.4732,0.1961,11.7366,11.0716,8.5899,3.613,14.1056,3.6168,2.101,0.8599,4.1301,0.8241,0.041181,0.103845,-0.533191,0.043033,464.7688,0.6835,F0,normal
532.1,1.1972,535.0,531.0,389.6,1.3499,392.0,388.0,-21.5054,5.3788,-12.219,-31.7693,505.9,0.9944,507.0,504.0,10.4874,0.4833,11.0712,9.1849,11.3765,0.0784,11.484,11.2361,12.6882,0.3157,13.3151,12.3963,466.3256,1.1555,468.9824,465.0296,12.6882,0.3157,13.3151,12.3963,11.5174,0.1176,11.7366,11.3004,9.675,2.7109,14.1056,5.4252,2.2008,0.7417,4.1301,1.4083,0.227326,-0.053186,0.503569,0.046117,465.0296,0.9881,F0,normal
532.3,1.1595,535.0,531.0,389.4,1.7764,392.0,386.0,-19.5503,5.2792,-12.219,-26.8817,506.9,2.0248,512.0,505.0,10.569,0.0606,10.6595,10.4129,11.4179,0.1219,11.6494,11.2361,12.5212,0.1193,12.6462,12.2299,466.3566,1.227,468.9824,464.1966,12.5212,0.1193,12.6462,12.2299,11.5027,0.0679,11.5965,11.3756,7.0347,2.8814,9.9462,-0.0,1.9522,0.0707,1.9867,1.817,-0.255087,-0.00251,0.503569,0.041921,464.1966,-1.8211,F0,normal
532.4,1.3499,535.0,531.0,388.2,1.4757,390.0,386.0,-18.0841,6.8349,-2.4438,-26.8817,506.8,2.0976,512.0,505.0,10.5198,0.1398,10.6595,10.1667,11.4426,0.0804,11.6494,11.4013,12.1994,0.9523,12.6462,9.5117,465.9137,0.9086,467.16,464.1966,12.3884,0.3679,12.6462,11.4013,11.3873,0.3251,11.5965,10.4967,6.4741,3.3916,11.393,-0.0,1.9752,0.1071,2.2295,1.817,-0.009886,-0.055838,1.125626,0.038814,464.1966,0.7246,F0,normal
533.0,1.0541,535.0,531.0,389.1,1.6633,392.0,387.0,-18.5728,6.1176,-2.4438,-21.9941,506.4,0.9661,508.0,505.0,10.528,0.1295,10.5772,10.1667,11.36,0.1305,11.4013,10.9887,12.2577,0.9696,12.6462,9.5117,466.6314,0.9189,467.8424,465.0296,12.4467,0.3797,12.6462,11.4013,11.3819,0.3208,11.5416,10.4967,7.5591,2.8438,11.393,1.2659,2.0253,0.0988,2.2295,1.8896,0.176874,0.041322,0.088865,0.039802,465.0296,0.5223,F0,normal
